"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"2162","Victor Moses",2010,"8(13)",812,3,0.8,14.2,73.2,0.3,0.1,0.1,6.58,"Wigan","M(CLR)",NA,NA
"2163","Victor Moses",2011,"36(2)",3217,1,1.1,24,81.2,0.6,1,0,6.91,"Wigan","M(CLR)",NA,NA
"2164","Victor Moses",2012,"12(11)",1125,1,1,18,81.9,0.2,0.3,0,6.56,"Chelsea","M(CLR)","chelsea-fc",5530000
"2165","Victor Moses",2013,"6(13)",644,0,0.5,15.4,86.6,0.1,0.6,0.1,6.35,"Liverpool","M(CLR)","chelsea-fc",12750000
"2166","Victor Moses",2013,"6(13)",644,0,0.5,15.4,86.6,0.1,0.6,0.1,6.35,"Liverpool","M(CLR)","liverpool-fc",12750000
"2167","Victor Moses",2014,"19",1455,3,1.7,21.1,81.5,1.6,0.4,0,7.45,"Stoke","M(CLR)","chelsea-fc",9350000
"2168","Victor Moses",2014,"19",1455,3,1.7,21.1,81.5,1.6,0.4,0,7.45,"Stoke","M(CLR)","stoke-city",9350000
"2169","Victor Moses",2015,"13(8)",982,2,0.8,13.3,80,0.4,0.3,0,6.52,"West Ham","M(CLR)","chelsea-fc",6380000
"2170","Victor Moses",2015,"13(8)",982,2,0.8,13.3,80,0.4,0.3,0,6.52,"West Ham","M(CLR)","west-ham-united",6380000
"2171","Victor Moses",2016,"8(5)",751,1,0.8,27.2,78.5,0.5,1.1,0,7.29,"Chelsea","M(CLR)","chelsea-fc",5950000
"2172","Xherdan Shaqiri",2015,"27",2039,6,1.9,23.7,82.3,1.4,0.7,0.3,6.82,"Stoke","M(CLR)","stoke-city",15300000
"2173","Xherdan Shaqiri",2016,"9",715,0,2.2,27.2,78,1.6,1.8,0.4,7.07,"Stoke","M(CLR)","stoke-city",12750000
"2174","Zoltan Gera",2009,"19(8)",1870,3,1.3,32.5,75.3,0.3,0.9,0.1,6.88,"Fulham","M(CLR)",NA,NA
"2175","Zoltan Gera",2010,"10(17)",1111,1,1,22.8,77.2,0.4,0.8,0.1,6.55,"Fulham","M(CLR)",NA,NA
"2176","Andre Ayew",2015,"34",2940,2,0.7,31,81.7,0.1,0.7,0.1,6.98,"Swansea","M(CLR),FW","swansea-city",11050000
"2177","Anthony Pilkington",2011,"23(7)",1975,1,1.3,24.4,81.3,1.2,0.9,0,6.71,"Norwich","M(CLR),FW",NA,NA
"2178","Anthony Pilkington",2012,"25(5)",2158,3,0.8,19.3,80.6,0.8,0.2,0,6.65,"Norwich","M(CLR),FW",NA,NA
"2179","Bryan Ruiz",2011,"17(10)",1514,3,1.3,27.7,81,0.3,1.9,0.1,6.82,"Fulham","M(CLR),FW",NA,NA
"2180","Bryan Ruiz",2012,"26(3)",2386,7,1.7,45.8,84.8,0.8,2.6,0.2,7.28,"Fulham","M(CLR),FW",NA,NA
"2181","Dirk Kuyt",2009,"35(2)",3017,3,1.6,42.1,74.1,0.4,0.9,0.1,7.08,"Liverpool","M(CLR),FW","liverpool-fc",15300000
"2182","Dirk Kuyt",2010,"32(1)",2821,7,1.7,42,73.6,0.4,1.2,0.2,7.29,"Liverpool","M(CLR),FW","liverpool-fc",14450000
"2183","Dirk Kuyt",2011,"22(12)",2004,1,1.2,31.9,77.5,0.4,1.1,0.1,6.59,"Liverpool","M(CLR),FW","liverpool-fc",12750000
"2184","Gareth Bale",2009,"18(5)",1707,5,1.7,26.4,64.9,1.6,1.5,0,7.64,"Tottenham","M(CLR),FW","tottenham-hotspur",7230000
"2185","Gareth Bale",2010,"29(1)",2452,1,1.6,28.8,74.3,2,1.2,0.1,7.38,"Tottenham","M(CLR),FW","tottenham-hotspur",5530000
"2186","Gareth Bale",2011,"36",3217,10,2.3,40.2,82.5,1.3,1.6,0.3,7.66,"Tottenham","M(CLR),FW","tottenham-hotspur",21250000
"2187","Gareth Bale",2012,"33",2925,4,2.3,34.2,78.6,1.9,1.1,0.1,7.92,"Tottenham","M(CLR),FW","tottenham-hotspur",3.4e+07
"2188","Gylfi Sigurdsson",2011,"17(1)",1500,3,2.8,37.3,84.5,2.1,1.6,0.3,7.63,"Swansea","M(CLR),FW","swansea-city",6380000
