"","match_point","match_flag","coach_name","season_edits"
"3741",3,"win","Brian Laws",2008
"3742",0,"lose","Brian Laws",2008
"3743",3,"win","Brian Laws",2008
"3744",0,"lose","Brian Laws",2008
"3745",1,"draw","Brian Laws",2008
"3746",0,"lose","Brian Laws",2008
"3747",0,"lose","Brian Laws",2008
"3748",3,"win","Brian Laws",2008
"3749",3,"win","Brian Laws",2008
"3750",0,"lose","Brian Laws",2008
"3751",3,"win","Brian Laws",2008
"3752",0,"lose","Brian Laws",2008
"3753",0,"lose","Brian Laws",2008
"3754",0,"lose","Brian Laws",2008
"3755",3,"win","Brian Laws",2008
"3756",0,"lose","Brian Laws",2008
"3757",1,"draw","Brian Laws",2008
"3758",0,"lose","Brian Laws",2008
"3759",3,"win","Brian Laws",2008
"3760",3,"win","Brian Laws",2007
"3761",1,"draw","Brian Laws",2007
"3762",1,"draw","Brian Laws",2007
"3763",1,"draw","Brian Laws",2007
"3764",1,"draw","Brian Laws",2007
"3765",3,"win","Brian Laws",2007
"3766",1,"draw","Brian Laws",2007
"3767",1,"draw","Brian Laws",2007
"3768",0,"lose","Brian Laws",2007
"3769",0,"lose","Brian Laws",2007
"3770",0,"lose","Brian Laws",2007
"3771",3,"win","Brian Laws",2007
"3772",1,"draw","Brian Laws",2007
"3773",0,"lose","Brian Laws",2007
"3774",0,"lose","Brian Laws",2007
"3775",1,"draw","Brian Laws",2007
"3776",1,"draw","Brian Laws",2007
"3777",3,"win","Brian Laws",2007
"3778",3,"win","Brian Laws",2007
"3779",0,"lose","Brian Laws",2007
"3780",0,"lose","Brian Laws",2007
"3781",0,"lose","Brian Laws",2007
"3782",0,"lose","Brian Laws",2007
"3783",0,"lose","Brian Laws",2007
"3784",3,"win","Brian Laws",2007
"3785",3,"win","Brian Laws",2006
"3786",3,"win","Brian Laws",2006
"3787",3,"win","Brian Laws",2006
"3788",3,"win","Brian Laws",2006
"3789",3,"win","Brian Laws",2006
"3790",1,"draw","Brian Laws",2006
"3791",3,"win","Brian Laws",2006
"3792",1,"draw","Brian Laws",2006
"3793",0,"lose","Brian Laws",2006
"3794",0,"lose","Brian Laws",2006
"3795",1,"draw","Brian Laws",2006
"3796",3,"win","Brian Laws",2006
"3797",1,"draw","Brian Laws",2006
"3798",3,"win","Brian Laws",2006
"3799",3,"win","Brian Laws",2006
